Trait	Block	Hybrid	MPH
TLW	1	J92/OE2	18.66028708
EL	1	JING724/J92	18.85964912
EL	1	J92/OE2	18.86792453
TSS	1	J92/OE3	18.96232242
TLL	1	J92/JING724	19.00161031
MLW	2	OE1/J92	19.04761905
MLW	2	OE1/J92	19.04761905
MLL	2	J92/OE1	19.21568627
EH	1	OE1/J92	19.35235158
MLW	1	J92/OE2	19.43127962
BLW	1	J92/OE2	19.61722488
EL	1	J92/OE2	19.71153846
EL	1	J92/OE2	19.71153846
MSS	2	OE1/J92	19.79982594
BSS	2	OE1/J92	20.05477785
BLL	1	OE1/J92	20.08141113
EH	2	OE1/J92	20.11790715
EL	1	J92/JING724	20.15355086
BLL	1	OE1/J92	20.23270847
BLL	2	J92/OE3	20.36082474
PH	1	J92/JING724	20.50400916
EH	2	J92/OE1	20.50898204
MLW	2	OE1/J92	20.53571429
MLW	1	OE1/J92	20.77294686
BSS	2	J92/OE2	20.81126078
MSS	1	OE1/J92	20.84696824
MLL	1	J92/JING724	20.84857352
EH	2	OE1/J92	20.85482682
TLW	2	JING724/J92	21.12676056
MLL	2	JING724/J92	21.28356254
BSS	2	J92/OE2	21.29559558
BLW	2	OE1/J92	21.32701422
MSS	2	JING724/J92	21.36842105
MLL	1	JING724/J92	21.37559002
BLL	2	J92/OE2	21.55591572
MLL	2	JING724/J92	21.56862745
MLL	1	J92/OE2	21.62162162
BSS	1	OE1/J92	21.62971839
MLL	1	J92/JING724	21.63323782
MLL	1	OE1/J92	21.70385396
BLL	2	JING724/J92	21.80349933
TLW	2	JING724/J92	21.95121951
MSS	2	JING724/J92	21.99184831
PH	1	J92/OE2	22.06173888
EH	1	OE1/J92	22.26304188
BLW	2	OE1/J92	22.27488152
BSS	2	OE1/J92	22.40192705
MSS	1	OE1/J92	22.41570952
MLL	1	JING724/J92	22.42090784
BSS	2	J92/OE1	22.54395036
BLL	2	J92/OE3	22.55033557
MLL	1	J92/JING724	22.58934592
TSS	2	J92/OE3	22.61489962
MLL	2	J92/OE3	22.65331665
TLW	2	OE1/J92	22.79069767
TLW	2	OE1/J92	22.79069767
TLL	1	J92/OE2	22.83464567
BLL	2	J92/OE1	22.85714286
MLL	1	J92/OE3	22.89780078
TLW	2	J92/OE1	22.92682927
BLL	1	OE1/J92	23.1367466
MLL	1	JING724/J92	23.22946176
TSS	1	J92/JING724	23.23374341
EL	1	JING724/J92	23.33333333
PH	2	JING724/J92	23.3399829
TSS	2	J92/OE3	23.3535438
BLW	2	OE1/J92	23.36448598
BLL	2	JING724/J92	23.55316285
BLW	1	JING724/J92	23.58490566
MLW	1	OE1/J92	23.67149758
TLW	2	J92/OE1	23.67149758
BLL	2	J92/OE2	23.69597615
TSS	1	J92/OE2	23.712151
TLW	2	OE1/J92	23.72093023
MLL	2	JING724/J92	23.81646031
EL	1	J92/OE1	23.85542169
