Trait	Block	Hybrid	MPH
TLW	2	J92/OE3	50.58823529
TLL	1	OE1/J92	50.76182839
PH	1	J92/OE1	50.9347327
EL	2	J92/OE3	50.94339623
EH	2	J92/OE3	51.0105093
PH	2	J92/OE3	51.11398127
TSS	1	OE1/J92	51.12514805
BLW	2	J92/OE3	51.19047619
EL	1	OE1/J92	51.20772947
MLW	2	J92/OE1	51.24378109
TLW	2	J92/OE3	51.25
TLL	2	J92/OE3	51.30848533
BLW	1	J92/OE2	51.32275132
PH	1	J92/OE1	51.32830436
TSS	1	OE1/J92	51.55941571
MSS	2	J92/OE2	51.5625
EL	2	J92/OE2	51.58924205
MSS	1	J92/OE2	51.59151194
BLW	2	J92/OE2	51.75879397
BSS	1	J92/OE3	51.85403178
MSS	1	OE1/J92	52.09401709
EL	1	OE1/J92	52.17391304
TLW	1	J92/OE1	52.33160622
BLW	1	J92/OE2	52.38095238
MLW	2	J92/OE2	52.38095238
EH	1	JING724/J92	52.42881072
BLL	2	OE1/J92	52.47678019
BSS	1	OE1/J92	52.50731707
MLW	2	J92/OE3	52.72727273
MSS	2	OE1/J92	52.91385135
TLL	2	OE1/J92	52.95095594
TSS	1	J92/JING724	53.03913405
EH	1	J92/OE2	53.08441558
PH	1	J92/OE2	53.30037802
TLL	1	OE1/J92	53.32771693
EH	1	J92/OE2	53.40909091
PH	2	J92/OE1	53.56265356
EH	2	J92/OE3	53.5974131
TLW	1	J92/OE3	53.64238411
PH	2	OE1/J92	53.6740248
TLL	1	OE1/J92	53.96952686
TLW	1	J92/OE3	54.03726708
TLL	2	JING724/J92	54.07292475
BSS	1	J92/OE2	54.10985586
MSS	1	OE1/J92	54.35897436
MSS	1	J92/OE1	54.45620789
TLL	2	OE1/J92	54.61346633
EL	1	J92/OE3	55.03875969
PH	1	OE1/J92	55.15750463
EH	1	J92/JING724	55.40138751
TLL	2	J92/OE3	55.44472153
TLW	1	OE1/J92	55.67567568
PH	1	OE1/J92	55.68976478
TLL	2	J92/OE1	55.84415584
TSS	1	OE1/J92	56.0600079
BSS	1	J92/OE3	56.09103079
MSS	2	J92/OE1	56.22280244
BSS	2	J92/OE3	56.34960577
MLL	2	OE1/J92	56.37860082
MSS	1	OE1/J92	56.42830678
PH	1	OE1/J92	56.45263827
TSS	1	OE1/J92	56.47034848
PH	1	OE1/J92	56.64335664
PH	2	JING724/J92	56.72759964
MSS	1	OE1/J92	56.74570728
TLL	2	J92/OE3	56.77472984
MLW	2	J92/OE3	56.96202532
TSS	1	J92/OE2	57.28884254
EH	2	OE1/J92	57.67366721
EL	2	J92/OE3	57.70234987
PH	1	OE1/J92	57.8134651
TSS	1	J92/JING724	57.84646062
TLL	2	OE1/J92	57.93848712
TSS	2	J92/OE3	57.95032271
MLW	1	J92/OE3	57.96178344
TSS	2	J92/OE3	58.10678662
PH	2	OE1/J92	58.16953317
EH	2	OE1/J92	58.48142165
BLL	2	OE1/J92	58.66873065
EH	1	J92/OE3	59.02255639
BSS	2	OE1/J92	59.11906401
BLW	1	JING724/J92	59.13978495
PH	2	OE1/J92	59.20696906
TSS	1	J92/OE3	59.23817863
BLL	2	OE1/J92	59.44272446
MSS	2	OE1/J92	59.54391892
TLL	2	OE1/J92	59.55473098
MLL	2	OE1/J92	59.67078189
TBN	2	J92/OE1	60
TBN	2	OE1/J92	60
TBN	1	OE1/J92	60
TBN	1	OE1/J92	60
TBN	1	OE1/J92	60
TBN	1	OE1/J92	60
TBN	1	OE1/J92	60
MSS	1	J92/OE2	60.55743243
TLL	2	OE1/J92	60.65292096
TSS	1	OE1/J92	61.11677196
PH	1	J92/OE1	61.12956811
TLL	1	OE1/J92	61.29032258
MSS	1	J92/OE2	61.38878291
BSS	1	OE1/J92	61.48518661
TLL	2	OE1/J92	61.51202749
PH	2	J92/OE3	61.6195985
BLW	1	J92/OE3	61.67664671
PH	2	JING724/J92	61.72248804
BSS	1	J92/OE2	61.92185008
PH	1	OE1/J92	62.15152509
MLW	2	J92/OE3	62.42424242
TSS	1	J92/OE3	62.68068331
EL	1	J92/OE3	62.79069767
MLL	2	OE1/J92	63.1372549
MSS	1	J92/OE2	63.2183908
TSS	1	JING724/J92	63.5348095
PH	1	OE1/J92	63.66021646
PH	2	J92/OE3	63.66110922
TLW	2	J92/OE3	63.75
BLW	2	J92/OE3	64.07185629
TLW	1	J92/OE3	64.2384106
MLL	2	OE1/J92	64.6090535
TLL	2	OE1/J92	64.94845361
TLL	2	OE1/J92	64.94845361
TLL	2	OE1/J92	65.12059369
TLL	2	OE1/J92	65.12059369
TLL	1	OE1/J92	65.1221567
MLW	1	J92/OE3	65.2173913
MSS	2	J92/OE1	65.28716216
EH	1	JING724/J92	65.35129933
PH	2	J92/OE3	65.75481256
PH	1	J92/OE3	65.92236345
MLL	2	OE1/J92	66.25514403
TBN	2	JING724/J92	66.66666667
PH	1	OE1/J92	66.71096346
PH	1	J92/OE3	67.91480591
MSS	1	OE1/J92	67.9307026
BSS	1	OE1/J92	68.11707317
PH	1	OE1/J92	68.65861411
TBN	1	JING724/J92	69.23076923
MLL	2	OE1/J92	69.5473251
TLW	2	J92/OE3	69.62025316
MSS	2	OE1/J92	71.23585727
BSS	1	J92/OE2	72.17113155
TSS	1	OE1/J92	72.2324159
EH	2	OE1/J92	73.34410339
TLW	1	J92/OE3	73.50993377
EH	1	JING724/J92	73.87127762
MSS	1	J92/OE3	73.87368854
PH	1	J92/OE3	74.05405405
BSS	1	J92/OE1	74.60444622
TBN	2	OE1/J92	75
PH	1	OE1/J92	75.08305648
BSS	1	OE1/J92	75.37514429
BSS	1	OE1/J92	75.67405632
MSS	2	J92/OE1	75.69021155
MSS	2	J92/OE2	76.59069326
TSS	1	JING724/J92	76.81052047
TLL	2	OE1/J92	76.97594502
PH	1	J92/OE3	77.12126417
PH	1	OE1/J92	77.60797342
TBN	1	J92/OE3	77.77777778
TBN	1	OE1/J92	77.77777778
TSS	1	JING724/J92	79.3837124
EH	2	JING724/J92	79.71530249
TLL	2	OE1/J92	79.96289425
TBN	2	J92/OE1	80
TBN	2	J92/OE3	80
TBN	2	OE1/J92	80
TBN	1	J92/OE3	80
TBN	1	OE1/J92	80
TLL	2	OE1/J92	81.81818182
TBN	1	J92/JING724	83.33333333
TBN	1	J92/JING724	83.33333333
TBN	2	JING724/J92	84.61538462
TBN	1	JING724/J92	84.61538462
TBN	1	J92/JING724	85.71428571
MSS	2	J92/OE2	98.7654321
TBN	2	J92/OE3	100
TBN	2	OE1/J92	100
TBN	2	OE1/J92	100
TBN	2	OE1/J92	100
TBN	1	J92/JING724	100
TBN	1	J92/JING724	100
TBN	1	J92/OE2	100
TBN	1	J92/OE3	100
TBN	1	OE1/J92	100
TBN	1	OE1/J92	100
TBN	1	OE1/J92	100
TBN	1	OE1/J92	100
TBN	1	OE1/J92	100
TBN	1	OE1/J92	100
TBN	1	OE1/J92	100
MSS	1	OE1/J92	100.2136752
TBN	2	JING724/J92	116.6666667
TBN	1	J92/JING724	118.1818182
TBN	2	J92/OE3	120
TBN	2	JING724/J92	120
TBN	2	OE1/J92	120
TBN	1	J92/OE1	120
TBN	1	J92/OE1	120
TBN	1	J92/OE2	120
TBN	1	J92/OE3	120
TBN	1	OE1/J92	120
TBN	1	OE1/J92	120
TBN	2	JING724/J92	125
TBN	2	JING724/J92	130.7692308
TBN	2	J92/OE2	133.3333333
TBN	2	OE1/J92	133.3333333
TBN	2	J92/OE3	140
TBN	1	J92/OE2	140
TBN	1	J92/OE2	140
TBN	1	J92/OE2	140
TBN	2	OE1/J92	150
TBN	2	OE1/J92	150
TBN	2	OE1/J92	150
TBN	2	OE1/J92	166.6666667
TBN	1	JING724/J92	166.6666667
TBN	2	J92/OE1	175
TBN	1	J92/OE1	180
TBN	2	J92/OE1	200
TBN	2	J92/OE2	200
TBN	2	OE1/J92	200
TBN	1	J92/OE2	211.1111111
TBN	2	J92/OE3	225
TBN	2	J92/OE2	233.3333333
TBN	2	OE1/J92	266.6666667
TBN	2	OE1/J92	266.6666667
TBN	2	J92/OE3	333.3333333
