Gene	Median_FPKM	Mean_FPKM
ENSRNA049453582	0.348301594350548	0.348301594350548
ENSRNA049453693	0.849784139767171	1.078864372405
ENSRNA049453717	0.641074557086362	0.817461179882509
ENSRNA049453841	0.455487409051646	0.538660851285005
ENSRNA049454125	4.13412547033458	4.33143555871508
ENSRNA049454203	0.250036859073822	0.251628876021812
ENSRNA049454254	0.274729406232884	0.274729406232884
ENSRNA049454268	0.309432068072827	0.309432068072827
ENSRNA049454282	0.228434165981034	0.228434165981034
ENSRNA049454293	NA	NA
ENSRNA049454404	0.341658455837561	0.496164442913956
ENSRNA049454571	0.366988977427345	0.450631916728848
ENSRNA049454705	0.296429114105585	0.38212764546163
ENSRNA049454750	0.300570568285112	0.367640640921981
ENSRNA049454767	0.284316544073405	0.284316544073405
ENSRNA049454877	0.291617042158151	0.281586212037977
ENSRNA049454895	0.674890925327782	0.891556408185526
ENSRNA049454938	0.402995376782633	0.707804668138448
ENSRNA049454997	0.17968814741078	0.223493548725237
ENSRNA049455185	0.410043852314298	0.375791469758872
ENSRNA049455202	0.290040311872101	0.370908154427605
ENSRNA049455242	0.18135404038713	0.189286935314567
ENSRNA049455301	0.191426730590372	0.191426730590372
ENSRNA049455313	0.186608795435061	0.187282792633912
ENSRNA049455334	0.194286110292521	0.194286110292521
ENSRNA049455358	0.177384028135981	0.177459948327469
ENSRNA049455425	0.343147837312128	0.344800544044934
ENSRNA049455527	0.228463299789858	0.228463299789858
ENSRNA049455651	0.488890492004107	3.90988032247785
ENSRNA049455662	0.278388928902288	0.337747099112019
ENSRNA049455853	0.680369814514936	0.643706597546981
ENSRNA049455955	0.357467048508829	0.390691508975913
ENSRNA049456300	1.20924014321328	1.40405525041445
ENSRNA049456320	1.37467726766225	1.51854923486374
ENSRNA049456343	0.354136806260633	0.48691461296938
ENSRNA049456385	0.32034196489376	0.379939215659404
ENSRNA049456416	0.52355077367772	0.461566948682698
ENSRNA049456552	0.462152629677116	0.523277211279211
ENSRNA049456636	0.304120177774131	0.344253784106953
ENSRNA049456661	0.312283422754625	0.397731654092073
ENSRNA049456692	1.30243009889579	1.55040791702789
ENSRNA049456702	2.00442849038486	2.22914659803626
ENSRNA049456719	4.41957175905537	4.77026356373038
ENSRNA049456746	1.16589736632275	1.34799600565155
ENSRNA049456769	2.82498420551331	3.23192254628709
ENSRNA049456789	1.11194183544343	1.23385493045727
ENSRNA049456826	0.530312428102147	0.490650232408888
