Gene	Median_FPKM	Mean_FPKM
ENSRNA049453582	NA	NA
ENSRNA049453693	1.06186120026302	1.07598913886497
ENSRNA049453717	0.710222530462548	0.904495345805574
ENSRNA049453841	0.45183638192279	0.621531687820984
ENSRNA049454125	4.07740667899683	4.26126138131817
ENSRNA049454203	0.405301000842728	0.405301000842728
ENSRNA049454254	NA	NA
ENSRNA049454268	NA	NA
ENSRNA049454282	0.340756556102288	0.340756556102288
ENSRNA049454293	0.176907004829152	0.176907004829152
ENSRNA049454404	0.358992186415877	0.357507635433116
ENSRNA049454571	0.359782393504546	0.504092587559983
ENSRNA049454705	0.28056143035604	0.373362928835405
ENSRNA049454750	0.316372340100342	0.376898820513654
ENSRNA049454767	NA	NA
ENSRNA049454877	0.145889025338116	0.145889025338116
ENSRNA049454895	0.690299886085574	1.00788310645954
ENSRNA049454938	0.403757507060805	0.737107250959774
ENSRNA049454997	0.173708551294442	0.44926674905796
ENSRNA049455185	0.418570211598413	0.401780955094139
ENSRNA049455202	0.407784813287594	0.437829054560518
ENSRNA049455242	0.196631156464093	0.196631156464093
ENSRNA049455301	NA	NA
ENSRNA049455313	0.176234409055398	0.176234409055398
ENSRNA049455334	0.185415278403762	0.185415278403762
ENSRNA049455358	0.198268539776775	0.198268539776775
ENSRNA049455425	0.337516476541835	0.283535345457812
ENSRNA049455527	NA	NA
ENSRNA049455651	0.836716179636658	6.24991911193311
ENSRNA049455662	0.26706555536818	0.267075017027746
ENSRNA049455853	NA	NA
ENSRNA049455955	0.354252701658634	0.4410596421636
ENSRNA049456300	1.21131598064644	1.58364297980356
ENSRNA049456320	1.25572721486108	1.52218556267474
ENSRNA049456343	0.349897186839981	0.556280509589785
ENSRNA049456385	0.561159868259327	0.561159868259327
ENSRNA049456416	0.563482899068802	0.631327149265306
ENSRNA049456552	0.470982073828833	0.475731267672424
ENSRNA049456636	0.320639842859904	0.319238902744858
ENSRNA049456661	0.326558637320548	0.427483523353675
ENSRNA049456692	1.64410870912697	2.17352037825988
ENSRNA049456702	1.87412182249415	2.26692115015237
ENSRNA049456719	4.83918354074387	5.62094845756501
ENSRNA049456746	1.20847230281764	1.38215831568328
ENSRNA049456769	2.61073942807139	3.75817037979733
ENSRNA049456789	1.1196323492813	1.2627088987532
ENSRNA049456826	0.560160774522293	0.557163712967953
ENSRNA049457014	0.457713753713039	0.702083442154092
ENSRNA049457064	0.244072135851059	0.24255099995881
ENSRNA049457072	0.241970353451451	0.241127858655929
ENSRNA049457187	0.442101075773928	0.549320360251672
ENSRNA049457201	0.178624324725062	0.255470995429924
ENSRNA049457279	NA	NA
ENSRNA049457302	0.296270507945662	0.307447552221789
ENSRNA049457319	0.2369929744613	0.319019439536625
ENSRNA049457334	0.211461728811319	0.23516011404073
ENSRNA049457359	2.14756852907535	2.9718306958161
ENSRNA049457405	3.22567988009658	3.22567988009658
ENSRNA049457438	0.357724077002483	0.357724077002483
ENSRNA049457460	0.248837397092386	0.322215620458429
ENSRNA049457503	1.69590060123068	1.97158643879113
ENSRNA049457531	4.03685511303654	4.94940906052686
ENSRNA049457554	0.127726772504625	0.13984935929515
ENSRNA049457570	0.130252059932074	0.193104293448701
ENSRNA049457592	0.172566730963823	0.171898632553818
ENSRNA049457729	0.747287683366163	0.758397806702415
ENSRNA049457749	0.764355847132699	0.846412684693544
ENSRNA049457777	0.687595231614226	0.888273860593663
ENSRNA049457806	0.649559642212988	1.50008759442546
ENSRNA049458208	4.09308275971848	4.86988104611069
ENSRNA049458322	0.261775371306225	0.338609629793971
ENSRNA049458390	0.254856353793195	0.249220822039006
ENSRNA049458426	2.33390413289248	2.53690300728127
ENSRNA049458448	17.2080305533697	17.6936189480581
ENSRNA049458467	8.73343763322323	8.74327092178332
ENSRNA049458495	3.41149286950144	3.51975156286785
ENSRNA049458582	7.21043924851081	7.3303534547105
ENSRNA049458634	4.87115694374329	4.95538693059979
ENSRNA049458706	6.22583174704823	6.38076341284698
ENSRNA049458722	6.04941998645124	6.25008383244048
ENSRNA049458758	9.06175635509472	9.49698561053329
ENSRNA049458782	7.8471263963376	9.88588462472493
ENSRNA049458795	5.89196030232827	5.98701309864188
ENSRNA049458812	13.6025119049351	14.1885474526885
ENSRNA049458826	34.6812132931149	34.9093408935527
ENSRNA049458846	3.517124212836	3.5198859791387
ENSRNA049458857	4.14870477862248	5.34448124684373
ENSRNA049458874	5.01276924264086	5.07999648806102
ENSRNA049458957	12.0710488071693	13.216699032316
ENSRNA049458986	9.89840735951972	10.5971815342877
ENSRNA049459026	1.2808940973896	1.55389846612545
ENSRNA049459041	0.713030189083217	0.713030189083217
ENSRNA049459076	18.2535137182026	19.6382596906825
ENSRNA049459101	6.62822350774527	7.05895732915777
ENSRNA049459132	4.82203846222704	5.4494449709866
ENSRNA049459156	14.3025389828533	15.1929570395182
ENSRNA049459180	2.66995830161918	4.40023276399413
ENSRNA049459199	0.734589257256663	0.861400219777661
ENSRNA049459243	NA	NA
ENSRNA049459267	0.123079634758163	0.134243704880259
ENSRNA049459284	0.347679835524407	0.50450746853142
ENSRNA049459370	1.2449268515874	2.9392180122431
ENSRNA049459418	0.171457949244676	0.171457949244676
ENSRNA049459435	0.180474656286919	0.180474656286919
ENSRNA049459505	0.304138148169824	0.489183373900507
ENSRNA049459562	0.287382392707292	0.473650877585326
ENSRNA049459608	0.486347179465653	0.520055498519765
ENSRNA049459833	1.89717800614894	2.07274505507002
ENSRNA049459870	0.771647196672945	0.908073483619736
ENSRNA049459897	0.522517428367599	0.607137409576503
ENSRNA049459930	0.794206278049461	0.939987192819323
ENSRNA049460030	1.53770253227672	2.04551841338507
ENSRNA049460066	1.29142385525197	1.53142807756972
ENSRNA049460114	0.465506951834357	0.499181703908942
ENSRNA049460134	1.16155051289308	1.48700210854063
ENSRNA049460151	0.680406563660579	0.797896121923234
ENSRNA049460169	0.364313389160329	0.530492628413555
ENSRNA049460407	0.483585443296683	0.707418796607446
ENSRNA049460512	3.20619911623197	5.02522680352569
ENSRNA049460564	0.208676053054288	0.208676053054288
ENSRNA049460670	0.233720537048575	0.282611144415181
ENSRNA049460686	1.17409176030199	1.13048926284126
ENSRNA049460705	1.54914885712315	2.13375490195523
ENSRNA049460733	0.514716084669134	0.821791274236033
ENSRNA049460753	0.940388871675071	1.52248351476205
ENSRNA049460770	0.337191803680632	0.294240431547443
ENSRNA049460809	0.525559252594876	0.525559252594876
ENSRNA049460861	0.919730157426437	1.132099299133
ENSRNA049460987	0.461310759683016	0.461310759683016
ENSRNA049461178	0.148661007215858	0.148661007215858
ENSRNA049461227	0.290918020594462	0.394249024766919
ENSRNA049461250	1.09381414151317	1.51438248893421
ENSRNA049461441	2.43869171700553	3.39164862964875
ENSRNA049461457	1.36375137731245	2.16287522787091
