Gene	CV
Zm00001d000001	57.0427023822057
Zm00001d000004	15.6506086678635
Zm00001d000005	16.346381078088
Zm00001d000006	53.8236815263916
Zm00001d000008	69.7990173289387
Zm00001d000012	87.1278018916803
Zm00001d000017	84.8134510241398
Zm00001d000018	79.5323584517451
Zm00001d000019	30.0380499817153
Zm00001d000020	50.2177910855185
Zm00001d000021	14.921017565185
Zm00001d000023	13.0427059150089
Zm00001d000028	24.681640877739
Zm00001d000029	15.2039848614009
Zm00001d000030	8.49428904077292
Zm00001d000034	19.3734219407114
Zm00001d000035	18.5708620636114
Zm00001d000038	22.5132448229955
Zm00001d000039	14.7623129374916
Zm00001d000040	28.4259653497865
Zm00001d000041	27.9907066665992
Zm00001d000042	39.3577471839286
Zm00001d000045	12.1205110200174
Zm00001d000046	18.6400861041269
Zm00001d000052	27.444288450835
Zm00001d000053	12.9336810376814
Zm00001d000060	44.8836188144956
Zm00001d000071	27.3951089143198
Zm00001d000072	31.9551598163551
Zm00001d000077	51.392345011302
Zm00001d000080	20.9573700753158
Zm00001d000085	33.3121389637508
Zm00001d000098	15.6625120210489
Zm00001d000099	19.0858976544058
Zm00001d000102	12.5411593062786
Zm00001d000107	28.7115472935564
Zm00001d000110	10.2778358893708
Zm00001d000112	21.3336601451599
Zm00001d000116	23.3934746289071
Zm00001d000117	37.0952710410301
Zm00001d000120	15.8038039568042
Zm00001d000123	19.6664451199084
Zm00001d000124	15.762588653278
Zm00001d000126	53.9543036343179
Zm00001d000133	22.6656543053464
Zm00001d000135	19.9215774246923
Zm00001d000141	31.1937293690692
Zm00001d000143	29.571881025734
Zm00001d000153	17.3384756795024
Zm00001d000158	29.1342623929585
Zm00001d000163	45.6823296878023
Zm00001d000164	21.7594441355628
Zm00001d000165	30.7737690114171
Zm00001d000166	14.5178991990139
Zm00001d000168	20.001055664862
Zm00001d000169	11.0225319498277
Zm00001d000170	22.6712577939235
Zm00001d000175	22.4154461728764
Zm00001d000176	43.3749592919099
Zm00001d000178	20.8967155063737
Zm00001d000179	41.6608648996337
Zm00001d000183	26.5405638931397
Zm00001d000184	19.6937964778058
Zm00001d000191	12.1029382586316
Zm00001d000194	42.5167142357963
Zm00001d000196	51.9211202998891
Zm00001d000197	25.3237578568326
Zm00001d000199	14.1997848591145
Zm00001d000202	22.1526808202655
Zm00001d000204	23.3844300915527
Zm00001d000205	22.6480435939092
Zm00001d000213	19.2729892404598
Zm00001d000222	43.3932116105007
Zm00001d000223	16.1397308568104
Zm00001d000224	35.0485105877715
Zm00001d000226	37.90441856628
Zm00001d000227	13.6270933936452
Zm00001d000229	45.3779670843278
Zm00001d000230	18.1688380808425
Zm00001d000233	39.6117838628746
Zm00001d000237	79.149164021827
Zm00001d000240	8.99840487905532
Zm00001d000241	20.9898206257796
Zm00001d000247	14.4484962418428
Zm00001d000257	11.4753509811173
Zm00001d000259	37.1880711629667
Zm00001d000260	28.509423416227
Zm00001d000270	72.7675615087138
Zm00001d000276	32.5755369402058
Zm00001d000277	26.5606958453282
Zm00001d000278	51.003199211902
Zm00001d000279	74.8134181085652
Zm00001d000288	39.6534237036859
Zm00001d000291	24.9593673748342
Zm00001d000294	75.0634793488644
Zm00001d000295	13.7717019955693
Zm00001d000298	52.7348613457623
Zm00001d000299	30.1249832542188
Zm00001d000300	10.3337688269906
Zm00001d000301	17.8468839326905
Zm00001d000302	18.9928036975345
Zm00001d000305	24.0384589064817
Zm00001d000307	31.1483637805012
Zm00001d000308	33.753112040465
Zm00001d000310	45.3378254458667
Zm00001d000311	14.5552649616262
Zm00001d000312	24.3399473231667
Zm00001d000313	17.5660624866451
Zm00001d000314	15.6589174882971
Zm00001d000316	23.3029081472012
Zm00001d000328	23.3746188907408
Zm00001d000329	14.8775025580301
Zm00001d000339	43.0466245477953
Zm00001d000345	18.9928849994908
Zm00001d000346	23.3603075718103
Zm00001d000349	14.5338592479527
Zm00001d000350	17.229434421633
Zm00001d000357	22.7790978705934
Zm00001d000358	23.7965896429271
Zm00001d000370	54.1714157865445
Zm00001d000379	18.2034377674836
Zm00001d000380	34.9814398280199
Zm00001d000381	16.8140877761413
Zm00001d000390	45.2932725208204
Zm00001d000391	18.1268102597222
Zm00001d000396	14.0634418663538
Zm00001d000399	24.4455551303493
Zm00001d000401	24.3336213590147
Zm00001d000402	31.7010938753438
Zm00001d000403	18.6904789640879
Zm00001d000407	29.3764790606617
Zm00001d000408	25.1884102989381
Zm00001d000419	21.8463316600064
Zm00001d000424	26.6823509479063
Zm00001d000428	22.639067594803
Zm00001d000430	13.7020709616899
Zm00001d000432	14.5396581889608
Zm00001d000434	40.3270956144645
Zm00001d000435	26.0651525896851
Zm00001d000436	22.9486807684228
Zm00001d000439	19.0413056610848
Zm00001d000443	21.9341984093988
