ID	P5_J92/OE2	P5_J92/OE1	P5_J92/JING724	P5_J92/OE3	P6_J92/OE1	P6_J92/OE3	P6_J92/JING724	P6_J92/OE2
ENSRNA049458582	-0.361613813	0.067662474	-0.482148073	-0.068068363	1.584810065	0.995280957	-0.039784975	0.369248154
ENSRNA049458634	-0.355638593	-0.16166295	-0.145514606	-0.03004548	0.863303661	1.300046572	-0.006217511	0.052680585
ENSRNA049458706	-0.547056428	-0.225566612	-0.278091902	-0.17727953	2.398394514	0.496006909	-0.428578749	0.111429741
ENSRNA049458722	-0.030124914	-0.004911289	-0.113406285	0.434254162	1.43022995	1.118552984	-0.117508559	0.272243066
ENSRNA049458758	-0.490144497	-0.030710827	-0.341426545	-0.203552427	0.731874322	0.216891187	-0.503209383	0.195949909
ENSRNA049458782	-0.163449876	-0.338986044	-0.44366634	-0.216915263	0.315380983	0.672746622	0.209658693	0.07178363
ENSRNA049458795	-0.283979326	-0.248172907	-0.148198664	-0.142065244	0.64175893	0.044698889	-0.370366333	-0.302377426
ENSRNA049458812	-0.596468299	-0.189682785	-0.551329147	-0.442309518	1.140964776	1.037764716	0.059990555	0.432081768
ENSRNA049458826	0.714751859	-0.153682198	-0.560687556	-0.469027535	-0.376110327	0.046403139	0.10419503	-0.225372272
ENSRNA049458846	-0.442026098	-0.159781215	-0.368283993	0.012787363	0.990055396	0.530498391	-0.264631744	0.174954735
ENSRNA049458857	0	0	0	0	0	0	0	0
ENSRNA049458874	-0.36785464	-0.130938767	-0.352129548	0.466488869	0.915867632	0.29651291	-0.324242821	0.014443451
ENSRNA049458957	-0.17266073	0.065495398	0.354614934	0.290996421	0.698662279	0.068370586	-0.187220641	-0.293223595
ENSRNA049458986	-0.102033606	-0.191790717	0.87555303	0.076880189	1.202815753	0.781486101	0.183754957	-0.061177741
ENSRNA049459026	-0.2245349	-0.128630658	0.329583748	0.213724008	-0.058436472	-0.239764545	-0.416192583	-0.132911553
ENSRNA049459076	-0.214446135	0.172426183	-0.297310257	0.079610644	0.36573585	0.149248042	-0.289462159	-0.150323472
ENSRNA049459101	0.099796607	-0.066711822	0.667978947	-0.221008127	0.219662316	0.484610046	0.051118491	-0.369584622
ENSRNA049459132	-0.34982816	-0.300448401	-0.468457509	-0.560829629	-0.32878944	0.484706854	-0.755489044	-0.459247967
ENSRNA049459156	-0.157585767	0.025938529	-0.180720146	0.721542601	0.166890647	0.59938043	-0.018108693	0.34811239
ENSRNA049459180	-0.147753546	-0.208014048	0.394585562	-0.228325722	-0.091261715	-0.184657398	-0.226916653	-0.603913061
ENSRNA049459199	-0.019738604	0.026832233	0.516015093	0.035751074	0.273147552	-0.227863466	-0.231649358	-0.081341791
ENSRNA049459243	0	0	0	0	0	0	0	0
ENSRNA049459267	0.0718097	0.021788697	0.004118863	0.293119034	0.278182854	-0.020757236	-0.082957326	-0.073114599
ENSRNA049459284	0	0	0	0	0	0	0	0
ENSRNA049459300	0.003131111	0.039751072	-0.004171506	0.097945473	0.069836322	0.016792769	-0.008002944	0.010715645
ENSRNA049459370	0.12557589	0.158703986	-0.55893067	-0.085145528	0.370827973	0.158169883	-0.804388698	-0.378442341
ENSRNA049459418	0.12220123	0	0	0	0	0	0	0
ENSRNA049459435	0	0	0	0	0	0	0.31719028	0
ENSRNA049459505	0	-0.075354614	0	0	0	0	0	0
ENSRNA049459562	-0.081315874	0	0	-0.004923804	0	0	-0.07118103	-0.076378145
ENSRNA049459608	0	0	0	0	0	0	0	0
ENSRNA049459739	0	0.062248327	0	0	0	0	0	0
ENSRNA049459833	-0.47057481	-0.386963444	-0.304725701	-0.274101044	0.230051763	-0.356284147	-0.076637302	-0.119222977
ENSRNA049459870	-0.106651932	-0.232953088	-0.303763371	-0.46398993	0.640336109	-0.100605489	-0.363450403	-0.305615941
ENSRNA049459930	-0.011390358	-0.171270835	0.051392265	-0.275071319	0.23029282	0.184450648	-0.291076099	-0.007857679
ENSRNA049460030	0.102043992	0.395943351	-0.510460058	0.026111059	0.194970764	0.892372919	-0.431166365	0.058708429
ENSRNA049460066	-0.168710047	-0.189590653	-0.444381505	-0.210324946	0.424732985	0.430200439	-0.377896589	-0.002077983
ENSRNA049460114	-0.183696206	-0.072331604	0	0	0.300333593	-0.070446461	-0.285976613	0.122100508
ENSRNA049460134	-0.193044339	-0.540246743	-0.259836823	-0.198024914	0.525516149	-0.219099477	-0.383238961	-0.274234666
ENSRNA049460169	0.119495884	-0.049910891	0.136750023	-0.049910891	-0.10111253	-0.137239097	0.194765021	-0.10111253
ENSRNA049460407	0	0.062565921	0	-0.085275615	0	0	0	0
ENSRNA049460670	0	0	0	0	0	0	0	0
ENSRNA049460686	0	0	0	0	0	0	0	0
ENSRNA049460705	-0.28813742	-0.072882153	-0.306466926	0.69751608	0.00075535	0.204138687	-0.424465839	-0.429845207
ENSRNA049460733	-0.364715479	-0.301795217	-0.305156808	-0.17958164	0.579573937	-0.343722944	-0.221216593	-0.304481768
ENSRNA049460753	-0.087523014	-0.318560505	0.253927155	-0.344004774	-0.164548586	0.007015016	-0.018069392	-0.471857272
ENSRNA049460770	-0.050210922	-0.050210922	-0.050210922	-0.050210922	0.123063908	0	0	0
ENSRNA049460809	0	0	0	0	0	0	-0.084527924	0
ENSRNA049461178	0	0	0	0	0	0	0	0
ENSRNA049461227	0	0	0	0	0	0	0	0
ENSRNA049461250	0	0	0	0	0	0	0	0
ENSRNA049461441	-0.287561673	-0.222507719	0.096339799	0.012389332	0.956333898	0.251989389	-0.512229428	-0.32452995
ENSRNA049461457	-0.249067553	-0.152761283	-0.231546523	-0.058651714	0.75449772	-0.055775463	-0.61499387	-0.083236981
ENSRNA049461468	-0.129497707	0.064651482	-0.225448366	0.066755174	-0.190274577	-0.199338066	0.028308585	0.005727847
ENSRNA049461479	-0.02463457	-0.102954491	-0.088940676	1.04301635	0.38934249	0.042824938	0.36532625	0.243429726
ENSRNA049461505	-0.118080551	-0.05969239	-0.508817586	1.011965413	1.907747273	-0.253984251	-0.616991884	-0.397588705
ENSRNA049461520	-0.196170471	-0.235793354	0.171116456	0.060060161	0.265629145	-0.318395378	-0.177818357	-0.431943193
ENSRNA049461556	-0.207735128	-0.321839099	-0.23791492	-0.459889381	0.518037974	-0.083712215	-0.267415115	-0.292301918
ENSRNA049461578	-0.173908799	0.053787193	0.04192808	-0.04563438	0.077833415	-0.027813808	-0.09426892	-0.299902553
ENSRNA049461590	-0.224633784	0.002508913	0.126186527	-0.488324816	0.710740225	-0.074489648	-0.415896514	0.095251733
ENSRNA049461612	-0.209096689	-0.058187577	0.245720466	0.435039389	0.362107561	1.00641118	-0.347524721	0.198444882
ENSRNA049461634	-0.119668968	-0.17613182	0.82212955	0.566653113	0.855136517	0.732786955	-0.091014804	0.281964768
ENSRNA049461681	-0.027235723	-0.091842435	-0.081607243	-0.220724851	-0.155629459	-0.191190986	0	-0.149620127
ENSRNA049461704	0.239370312	-0.095066183	-0.167623544	0.461795648	-0.167679101	-0.256229232	-0.151264526	-0.324680268
ENSRNA049461717	0.099423408	0.158346825	0.085913368	-0.052783648	0.637878619	-0.290800096	0.723198938	-0.048493159
ENSRNA049461732	-0.218353177	-0.087459142	-0.644495042	0.011686763	1.014121895	1.330654333	-0.684486029	-0.460311616
ENSRNA049461747	-0.152862209	-0.435168241	0.128542106	-0.199547594	0.224290588	-0.133544402	0.016958101	-0.278037565
ENSRNA049461765	-0.102520318	0.248086836	-0.301975746	0.136154319	0.591528965	0.420945892	-0.406890032	-0.04798695
ENSRNA049461861	-0.153001499	0	0	-0.157150154	0	0	0	0
ENSRNA049462071	0	0	0	0	0	0	0	0
ENSRNA049462250	0.06580888	-0.195593591	0.198374947	0.397747598	0.237901767	-0.036343864	-0.012188109	-0.050059878
ENSRNA049462318	0.496187898	-0.087812321	0.151657605	0.716867879	0.483758614	-0.08129922	0.224684214	0.143183472
ENSRNA049462331	0.128283644	0	0	0	-0.038890831	-0.038890831	-0.038890831	-0.038890831
ENSRNA049462348	-0.150746618	-0.207379311	-0.281352561	0.053078528	-0.089319116	0.09543524	0.123137583	-0.24068398
ENSRNA049463024	0.483913219	0.384900753	-0.488380144	-0.053797484	0.318377176	0.469021863	-0.416202494	-0.357934025
ENSRNA049463047	0.071581257	-0.323917372	0.355595681	0.309458897	0.044063133	0.333910606	-0.523688308	-0.342002855
ENSRNA049463067	0.121765417	-0.228374853	0.524982433	0.275146257	0.061634708	0.304408524	-0.656155731	0.072759626
ENSRNA049463085	0.38557663	0.036852038	0.084768351	0.0588081	0.226983158	-0.24683464	-0.373768691	1.379543344
ENSRNA049463233	0	0	0	0	-0.274798093	-0.274798093	-0.274798093	-0.274798093
ENSRNA049463586	-0.06947328	-0.041617571	0.124742414	-0.278181044	0.225013991	0.194793597	-0.457378432	-0.21704347
ENSRNA049463630	-0.320223738	-0.200445713	-0.26283464	-0.412849636	0.620528488	-0.150325674	-0.280790474	-0.22527896
ENSRNA049463667	0.102719874	0.088861742	-0.200636117	0.128187275	0	0	0	0
ENSRNA049463738	-0.250907866	-0.178793288	-0.19327251	-0.350203661	0.451559624	-0.093904906	-0.219735024	0.174808669
ENSRNA049463761	-0.60938513	-0.407037455	0.398310496	-0.378238499	0.457538807	-0.0266617	0.585038005	-0.317188961
ENSRNA049463774	0.211154504	-0.125070546	0.806399785	-0.192205482	-0.141682763	-0.505326198	-0.151594561	-0.26578254
ENSRNA049463790	-0.014237632	-0.024999384	-0.014284753	-0.094006388	0.018741777	-0.099982057	-0.099982057	0.088527215
ENSRNA049463813	0.236688297	-0.298148442	-0.772990107	0.047314333	-0.29907962	0.007290187	-0.825202944	-0.497520664
ENSRNA049463828	-0.099062217	0.152334415	-0.349739762	0	-0.652546316	-0.430471207	-0.540939872	-0.60864816
ENSRNA049463846	0.249714478	-0.177440486	-0.585134391	0.282895559	-0.625354451	-0.217791357	-0.426485801	-0.316762034
ENSRNA049463865	-0.035918992	-0.010500701	-0.583055227	-0.005895881	0.036796275	0.07630322	-0.086924829	-0.170435213
ENSRNA049464122	-0.150401703	0.367887613	0.064051462	0	0.096394159	0.055868069	-0.082085945	-0.082085945
ENSRNA049464139	-0.143141967	-0.090604057	-0.077738422	0.008434883	0	0	0.174454654	0
ENSRNA049464595	0	0	0	0.089910641	0	0	0	-0.087721102
ENSRNA049464622	-0.056303136	0.026357432	-0.056303136	0.062938652	0.138886411	-0.050247058	0	0
